Trip/Eats ID,Transaction Timestamp (UTC),Request Date (UTC),Request Time (UTC),Request Date (Local),Request Time (Local),Drop-off Date (UTC),Drop-off Time (UTC),Drop-off Date (Local),Drop-off Time (Local),Request Timezone Offset from UTC,First Name,Last Name,Email,employee name ,Employee ID,Service,City,Distance (mi),Duration (min),PICKUP ZIP,DROP OFF ZIP,Expense Code,Program,Group,Payment Method,Transaction Type,Fare in Local Currency (excl. Taxes),Taxes in Local Currency,Tip in Local Currency,Transaction Amount in Local Currency (incl. Taxes),Local Currency Code,Fare in USD (excl. Taxes),Taxes in USD,Tip in USD,Transaction Amount in USD (incl. Taxes),"Estimated Service and Technology Fee (incl. Taxes, if any) in USD"
c61fe54a-4c02-4210-b3e7-7bca36452b44,6/1/19 4:13,6/1/19,3:55AM,5/31/19,11:55PM,--,--,--,--,-05:00,Blade,Employee1,Employee1@blyblade.com,Jake_Mirto,--,Travel | Premium SUV,NYC Suburbs,--,--,"11975, USA","11937, USA",EXP10,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,10,0,0,10,USD,10,0,0,10,1
399f5dee-b124-448b-b52e-5a5abe84159c,6/1/19 4:46,6/1/19,4:10AM,6/1/19,12:10AM,6/1/19,4:46AM,6/1/19,12:46AM,-05:00,Blade,Employee2,Employee2@blyblade.com,Cal_Thompson,--,Travel | Premium SUV,NYC Suburbs,8.49,27,"11937, USA","11930, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,75.52,0,0,75.52,USD,75.52,0,0,75.52,7.55
9bf8da24-1c44-4436-b93b-89424df50104,6/1/19 5:47,6/1/19,5:25AM,6/1/19,1:25AM,6/1/19,5:47AM,6/1/19,1:47AM,-05:00,Blade,Employee2,Employee2@blyblade.com,Cal_Thompson,--,Travel | UberX,New York City,5.63,14,"10011, USA","10027, USA",EXP12,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,22.51,0,0,22.51,USD,22.51,0,0,22.51,2.25
b85e3c08-5f85-47e3-bf3d-5cff6dd840dd,6/1/19 6:10,6/1/19,5:24AM,6/1/19,1:24AM,6/1/19,6:10AM,6/1/19,2:10AM,-05:00,Blade,Employee3,Employee3@blyblade.com,Esjona_Kadiu,--,Travel | UberX,New York City,13.23,36,"10011, USA","11214, USA",EXP12,Late Night Rides,DEPT - CX,Monthly Billing,Fare,41.62,0,0,41.62,USD,41.62,0,0,41.62,4.16
0f1cc64e-5353-4a71-b950-17bb22f51f9d,6/1/19 11:02,6/1/19,10:47AM,6/1/19,6:47AM,6/1/19,11:02AM,6/1/19,7:02AM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,3.65,10,"10038, USA","10010, USA",EXP10,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,14.97,0,0,14.97,USD,14.97,0,0,14.97,1.5
0f1cc64e-5353-4a71-b950-17bb22f51f9d,6/1/19 14:29,6/1/19,10:47AM,6/1/19,6:47AM,6/1/19,11:02AM,6/1/19,7:02AM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,3.65,10,"10038, USA","10010, USA",EXP10,CORP - Employee Rides,DEPT - CX,Monthly Billing,Tip,0,0,1.03,1.03,USD,0,0,1.03,1.03,0
1a0d9968-579b-417b-ad12-8145155cf7b7,6/1/19 17:59,6/1/19,5:17PM,6/1/19,1:17PM,6/1/19,5:59PM,6/1/19,1:59PM,-05:00,Blade,Employee5,Employee5@blyblade.com,Torey_McNeil,--,Travel | UberX Diamond,New York City,9.47,35,"11374, USA","10001, USA",EXP11,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,46.59,0,0,46.59,USD,46.59,0,0,46.59,4.66
7d8ad7d4-8b2a-441f-ada8-8ace83dd2954,6/1/19 21:36,6/1/19,9:00PM,6/1/19,5:00PM,--,--,--,--,-05:00,Blade,Employee2,Employee2@blyblade.com,Cal_Thompson,--,Travel | Premium SUV,NYC Suburbs,0.69,3,"11946, USA","11977, USA",EXP2,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,33.33,0,0,33.33,USD,33.33,0,0,33.33,3.33
baddca4c-d92e-4644-8697-f69ca33af3fe,6/1/19 21:37,6/1/19,8:58PM,6/1/19,4:58PM,--,--,--,--,-05:00,Blade,Employee6,Employee6@blyblade.com,Matthew_Brody,--,Travel | Premium SUV,NYC Suburbs,--,--,"11978, USA","11978, USA",EXP2,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,20,0,0,20,USD,20,0,0,20,2
aae12bbe-715c-4bfc-adef-52a827f5f667,,6/1/19,9:04PM,6/1/19,5:04PM,6/1/19,10:23PM,6/1/19,6:23PM,-05:00,Blade,Employee7,Employee7@blyblade.com,Jack_Oneill,--,Central | Premium SUV,NYC Suburbs,31.32,71,"11978, USA","11937, USA",--,OPS/FR/CX - PAX Rides,DEPT - OPS - NY,Monthly Billing,Fare,252.76,0,0,252.76,USD,252.76,0,0,252.76,25.28
